ArtistId	AlbumId
1	1
1	4
2	2
2	3
3	5
4	6
5	7
6	8
6	34
7	9
8	10
8	11
8	271
9	12
10	13
11	14
11	15
12	16
12	17
13	18
14	19
15	20
16	21
16	22
17	23
18	24
18	25
19	26
19	27
20	28
21	29
21	32
21	45
21	53
22	30
22	44
22	127
22	128
22	129
22	130
22	131
22	132
22	133
22	134
22	135
22	136
22	137
22	138
23	31
24	33
27	85
27	86
27	87
36	259
37	47
41	71
42	158
42	159
46	122
50	35
50	148
50	149
50	150
50	151
50	152
50	153
50	154
50	155
50	156
51	36
51	185
51	186
52	37
52	126
53	38
53	204
54	39
54	89
55	40
56	41
57	42
58	43
58	50
58	58
58	59
58	60
58	61
58	62
58	63
58	64
58	65
58	66
59	46
59	197
59	198
68	48
68	49
68	157
69	51
70	52
72	247
76	54
76	55
77	56
77	57
78	67
79	68
80	69
80	70
81	72
81	73
82	74
82	75
82	76
82	77
83	78
84	79
84	80
84	81
84	82
85	83
86	84
87	88
88	90
88	91
88	92
89	93
90	94
90	95
90	96
90	97
90	98
90	99
90	100
90	101
90	102
90	103
90	104
90	105
90	106
90	107
90	108
90	109
90	110
90	111
90	112
90	113
90	114
91	115
92	116
92	117
92	118
93	119
94	120
95	121
96	123
97	124
98	125
99	139
99	140
100	141
101	142
101	143
102	144
103	145
104	146
105	147
106	160
108	161
109	162
110	163
110	164
111	165
112	166
113	167
113	168
113	169
114	170
114	171
114	172
114	173
114	174
114	256
115	175
116	176
117	177
118	178
118	179
118	180
118	181
118	182
120	183
121	184
122	187
124	188
124	189
124	190
125	191
126	192
127	193
127	194
127	195
128	196
130	199
130	200
131	201
131	202
132	203
133	205
134	206
135	207
136	208
137	209
137	210
138	211
139	212
139	213
140	214
141	215
142	216
142	217
142	218
143	219
143	220
144	221
145	222
145	223
146	224
146	225
147	226
147	227
148	228
149	229
149	230
149	231
149	261
150	232
150	233
150	234
150	235
150	236
150	237
150	238
150	239
150	240
150	255
151	241
152	242
152	243
152	244
152	245
153	246
155	248
156	249
156	250
156	251
157	252
158	253
159	254
179	257
180	258
196	260
197	262
198	263
199	264
200	265
201	266
202	267
203	268
204	269
205	270
206	272
207	273
208	274
208	315
209	275
210	276
211	277
212	278
213	279
214	280
215	281
216	282
217	283
218	284
219	285
220	286
221	287
222	288
223	289
224	290
225	291
226	292
226	311
226	343
227	293
228	294
229	295
230	296
231	297
232	298
233	299
234	300
235	301
236	302
237	303
238	304
240	305
241	306
242	307
243	308
244	309
245	310
245	312
246	313
247	314
248	316
248	320
248	336
249	317
250	318
251	319
252	321
252	322
253	323
254	324
255	325
256	326
257	327
258	328
259	329
260	330
261	331
262	332
263	333
264	334
265	335
266	337
267	338
268	339
269	340
270	341
271	342
272	344
273	345
274	346
275	347
