CustomerId	InvoiceId
1	98
1	121
1	143
1	195
1	316
1	327
1	382
2	1
2	12
2	67
2	196
2	219
2	241
2	293
3	99
3	110
3	165
3	294
3	317
3	339
3	391
4	2
4	24
4	76
4	197
4	208
4	263
4	392
5	77
5	100
5	122
5	174
5	295
5	306
5	361
6	46
6	175
6	198
6	220
6	272
6	393
6	404
7	78
7	89
7	144
7	273
7	296
7	318
7	370
8	3
8	55
8	176
8	187
8	242
8	371
8	394
9	56
9	79
9	101
9	153
9	274
9	285
9	340
10	25
10	154
10	177
10	199
10	251
10	372
10	383
11	57
11	68
11	123
11	252
11	275
11	297
11	349
12	34
12	155
12	166
12	221
12	350
12	373
12	395
13	35
13	58
13	80
13	132
13	253
13	264
13	319
14	4
14	133
14	156
14	178
14	230
14	351
14	362
15	36
15	47
15	102
15	231
15	254
15	276
15	328
16	13
16	134
16	145
16	200
16	329
16	352
16	374
17	14
17	37
17	59
17	111
17	232
17	243
17	298
18	112
18	135
18	157
18	209
18	330
18	341
18	396
19	15
19	26
19	81
19	210
19	233
19	255
19	307
20	113
20	124
20	179
20	308
20	331
20	353
20	405
21	16
21	38
21	90
21	211
21	222
21	277
21	406
22	91
22	114
22	136
22	188
22	309
22	320
22	375
23	5
23	60
23	189
23	212
23	234
23	286
23	407
24	92
24	103
24	158
24	287
24	310
24	332
24	384
25	17
25	69
25	190
25	201
25	256
25	385
25	408
26	70
26	93
26	115
26	167
26	288
26	299
26	354
27	39
27	168
27	191
27	213
27	265
27	386
27	397
28	71
28	82
28	137
28	266
28	289
28	311
28	363
29	48
29	169
29	180
29	235
29	364
29	387
29	409
30	49
30	72
30	94
30	146
30	267
30	278
30	333
31	18
31	147
31	170
31	192
31	244
31	365
31	376
32	50
32	61
32	116
32	245
32	268
32	290
32	342
33	27
33	148
33	159
33	214
33	343
33	366
33	388
34	28
34	51
34	73
34	125
34	246
34	257
34	312
35	126
35	149
35	171
35	223
35	344
35	355
35	410
36	29
36	40
36	95
36	224
36	247
36	269
36	321
37	6
37	127
37	138
37	193
37	322
37	345
37	367
38	7
38	30
38	52
38	104
38	225
38	236
38	291
39	105
39	128
39	150
39	202
39	323
39	334
39	389
40	8
40	19
40	74
40	203
40	226
40	248
40	300
41	106
41	117
41	172
41	301
41	324
41	346
41	398
42	9
42	31
42	83
42	204
42	215
42	270
42	399
43	84
43	107
43	129
43	181
43	302
43	313
43	368
44	53
44	182
44	205
44	227
44	279
44	400
44	411
45	85
45	96
45	151
45	280
45	303
45	325
45	377
46	10
46	62
46	183
46	194
46	249
46	378
46	401
47	63
47	86
47	108
47	160
47	281
47	292
47	347
48	32
48	161
48	184
48	206
48	258
48	379
48	390
49	64
49	75
49	130
49	259
49	282
49	304
49	356
50	41
50	162
50	173
50	228
50	357
50	380
50	402
51	42
51	65
51	87
51	139
51	260
51	271
51	326
52	11
52	140
52	163
52	185
52	237
52	358
52	369
53	43
53	54
53	109
53	238
53	261
53	283
53	335
54	20
54	141
54	152
54	207
54	336
54	359
54	381
55	21
55	44
55	66
55	118
55	239
55	250
55	305
56	119
56	142
56	164
56	216
56	337
56	348
56	403
57	22
57	33
57	88
57	217
57	240
57	262
57	314
58	120
58	131
58	186
58	315
58	338
58	360
58	412
59	23
59	45
59	97
59	218
59	229
59	284
