InvoiceId	UnitPrice	Quantity	TrackId
1	0.99	1	2
1	0.99	1	4
2	0.99	1	6
2	0.99	1	8
2	0.99	1	10
2	0.99	1	12
3	0.99	1	16
3	0.99	1	20
3	0.99	1	24
3	0.99	1	28
3	0.99	1	32
3	0.99	1	36
4	0.99	1	42
4	0.99	1	48
4	0.99	1	54
4	0.99	1	60
4	0.99	1	66
4	0.99	1	72
4	0.99	1	78
4	0.99	1	84
4	0.99	1	90
5	0.99	1	99
5	0.99	1	108
5	0.99	1	117
5	0.99	1	126
5	0.99	1	135
5	0.99	1	144
5	0.99	1	153
5	0.99	1	162
5	0.99	1	171
5	0.99	1	180
5	0.99	1	189
5	0.99	1	198
5	0.99	1	207
5	0.99	1	216
6	0.99	1	230
7	0.99	1	231
7	0.99	1	232
8	0.99	1	234
8	0.99	1	236
9	0.99	1	238
9	0.99	1	240
9	0.99	1	242
9	0.99	1	244
10	0.99	1	248
10	0.99	1	252
10	0.99	1	256
10	0.99	1	260
10	0.99	1	264
10	0.99	1	268
11	0.99	1	274
11	0.99	1	280
11	0.99	1	286
11	0.99	1	292
11	0.99	1	298
11	0.99	1	304
11	0.99	1	310
11	0.99	1	316
11	0.99	1	322
12	0.99	1	331
12	0.99	1	340
12	0.99	1	349
12	0.99	1	358
12	0.99	1	367
12	0.99	1	376
12	0.99	1	385
12	0.99	1	394
12	0.99	1	403
12	0.99	1	412
12	0.99	1	421
12	0.99	1	430
12	0.99	1	439
12	0.99	1	448
13	0.99	1	462
14	0.99	1	463
14	0.99	1	464
15	0.99	1	466
15	0.99	1	468
16	0.99	1	470
16	0.99	1	472
16	0.99	1	474
16	0.99	1	476
17	0.99	1	480
17	0.99	1	484
17	0.99	1	488
17	0.99	1	492
17	0.99	1	496
17	0.99	1	500
18	0.99	1	506
18	0.99	1	512
18	0.99	1	518
18	0.99	1	524
18	0.99	1	530
18	0.99	1	536
18	0.99	1	542
18	0.99	1	548
18	0.99	1	554
19	0.99	1	563
19	0.99	1	572
19	0.99	1	581
19	0.99	1	590
19	0.99	1	599
19	0.99	1	608
19	0.99	1	617
19	0.99	1	626
19	0.99	1	635
19	0.99	1	644
19	0.99	1	653
19	0.99	1	662
19	0.99	1	671
19	0.99	1	680
20	0.99	1	694
21	0.99	1	695
21	0.99	1	696
22	0.99	1	698
22	0.99	1	700
23	0.99	1	702
23	0.99	1	704
23	0.99	1	706
23	0.99	1	708
24	0.99	1	712
24	0.99	1	716
24	0.99	1	720
24	0.99	1	724
24	0.99	1	728
24	0.99	1	732
25	0.99	1	738
25	0.99	1	744
25	0.99	1	750
25	0.99	1	756
25	0.99	1	762
25	0.99	1	768
25	0.99	1	774
25	0.99	1	780
25	0.99	1	786
26	0.99	1	795
26	0.99	1	804
26	0.99	1	813
26	0.99	1	822
26	0.99	1	831
26	0.99	1	840
26	0.99	1	849
26	0.99	1	858
26	0.99	1	867
26	0.99	1	876
26	0.99	1	885
26	0.99	1	894
26	0.99	1	903
26	0.99	1	912
27	0.99	1	926
28	0.99	1	927
28	0.99	1	928
29	0.99	1	930
29	0.99	1	932
30	0.99	1	934
30	0.99	1	936
30	0.99	1	938
30	0.99	1	940
31	0.99	1	944
31	0.99	1	948
31	0.99	1	952
31	0.99	1	956
31	0.99	1	960
31	0.99	1	964
32	0.99	1	970
32	0.99	1	976
32	0.99	1	982
32	0.99	1	988
32	0.99	1	994
32	0.99	1	1000
32	0.99	1	1006
32	0.99	1	1012
32	0.99	1	1018
33	0.99	1	1027
33	0.99	1	1036
33	0.99	1	1045
33	0.99	1	1054
33	0.99	1	1063
33	0.99	1	1072
33	0.99	1	1081
33	0.99	1	1090
33	0.99	1	1099
33	0.99	1	1108
33	0.99	1	1117
33	0.99	1	1126
33	0.99	1	1135
33	0.99	1	1144
34	0.99	1	1158
35	0.99	1	1159
35	0.99	1	1160
36	0.99	1	1162
36	0.99	1	1164
37	0.99	1	1166
37	0.99	1	1168
37	0.99	1	1170
37	0.99	1	1172
38	0.99	1	1176
38	0.99	1	1180
38	0.99	1	1184
38	0.99	1	1188
38	0.99	1	1192
38	0.99	1	1196
39	0.99	1	1202
39	0.99	1	1208
39	0.99	1	1214
39	0.99	1	1220
39	0.99	1	1226
39	0.99	1	1232
39	0.99	1	1238
39	0.99	1	1244
39	0.99	1	1250
40	0.99	1	1259
40	0.99	1	1268
40	0.99	1	1277
40	0.99	1	1286
40	0.99	1	1295
40	0.99	1	1304
40	0.99	1	1313
40	0.99	1	1322
40	0.99	1	1331
40	0.99	1	1340
40	0.99	1	1349
40	0.99	1	1358
40	0.99	1	1367
40	0.99	1	1376
41	0.99	1	1390
42	0.99	1	1391
42	0.99	1	1392
43	0.99	1	1394
43	0.99	1	1396
44	0.99	1	1398
44	0.99	1	1400
44	0.99	1	1402
44	0.99	1	1404
45	0.99	1	1408
45	0.99	1	1412
45	0.99	1	1416
45	0.99	1	1420
45	0.99	1	1424
45	0.99	1	1428
46	0.99	1	1434
46	0.99	1	1440
46	0.99	1	1446
46	0.99	1	1452
46	0.99	1	1458
46	0.99	1	1464
46	0.99	1	1470
46	0.99	1	1476
46	0.99	1	1482
47	0.99	1	1491
47	0.99	1	1500
47	0.99	1	1509
47	0.99	1	1518
47	0.99	1	1527
47	0.99	1	1536
47	0.99	1	1545
47	0.99	1	1554
47	0.99	1	1563
47	0.99	1	1572
47	0.99	1	1581
47	0.99	1	1590
47	0.99	1	1599
47	0.99	1	1608
48	0.99	1	1622
49	0.99	1	1623
49	0.99	1	1624
50	0.99	1	1626
50	0.99	1	1628
51	0.99	1	1630
51	0.99	1	1632
51	0.99	1	1634
51	0.99	1	1636
52	0.99	1	1640
52	0.99	1	1644
52	0.99	1	1648
52	0.99	1	1652
52	0.99	1	1656
52	0.99	1	1660
53	0.99	1	1666
53	0.99	1	1672
53	0.99	1	1678
53	0.99	1	1684
53	0.99	1	1690
53	0.99	1	1696
53	0.99	1	1702
53	0.99	1	1708
53	0.99	1	1714
54	0.99	1	1723
54	0.99	1	1732
54	0.99	1	1741
54	0.99	1	1750
54	0.99	1	1759
54	0.99	1	1768
54	0.99	1	1777
54	0.99	1	1786
54	0.99	1	1795
54	0.99	1	1804
54	0.99	1	1813
54	0.99	1	1822
54	0.99	1	1831
54	0.99	1	1840
55	0.99	1	1854
56	0.99	1	1855
56	0.99	1	1856
57	0.99	1	1858
57	0.99	1	1860
58	0.99	1	1862
58	0.99	1	1864
58	0.99	1	1866
58	0.99	1	1868
59	0.99	1	1872
59	0.99	1	1876
59	0.99	1	1880
59	0.99	1	1884
59	0.99	1	1888
59	0.99	1	1892
60	0.99	1	1898
60	0.99	1	1904
60	0.99	1	1910
60	0.99	1	1916
