artistId:ID,name,:LABEL
artist1,"AC/DC",Artist
artist2,"Accept",Artist
artist3,"Aerosmith",Artist
artist4,"Alanis Morissette",Artist
artist5,"Alice In Chains",Artist
artist6,"Antônio Carlos Jobim",Artist
artist7,"Apocalyptica",Artist
artist8,"Audioslave",Artist
artist9,"BackBeat",Artist
artist10,"Billy Cobham",Artist
artist11,"Black Label Society",Artist
artist12,"Black Sabbath",Artist
artist13,"Body Count",Artist
artist14,"Bruce Dickinson",Artist
artist15,"Buddy Guy",Artist
artist16,"Caetano Veloso",Artist
artist17,"Chico Buarque",Artist
artist18,"Chico Science & Nação Zumbi",Artist
artist19,"Cidade Negra",Artist
artist20,"Cláudio Zoli",Artist
artist21,"Various Artists",Artist
artist22,"Led Zeppelin",Artist
artist23,"Frank Zappa & Captain Beefheart",Artist
artist24,"Marcos Valle",Artist
artist25,"Milton Nascimento & Bebeto",Artist
artist26,"Azymuth",Artist
artist27,"Gilberto Gil",Artist
artist28,"João Gilberto",Artist
artist29,"Bebel Gilberto",Artist
artist30,"Jorge Vercilo",Artist
artist31,"Baby Consuelo",Artist
artist32,"Ney Matogrosso",Artist
artist33,"Luiz Melodia",Artist
artist34,"Nando Reis",Artist
artist35,"Pedro Luís & A Parede",Artist
artist36,"O Rappa",Artist
artist37,"Ed Motta",Artist
artist38,"Banda Black Rio",Artist
artist39,"Fernanda Porto",Artist
artist40,"Os Cariocas",Artist
artist41,"Elis Regina",Artist
artist42,"Milton Nascimento",Artist
artist43,"A Cor Do Som",Artist
artist44,"Kid Abelha",Artist
artist45,"Sandra De Sá",Artist
artist46,"Jorge Ben",Artist
artist47,"Hermeto Pascoal",Artist
artist48,"Barão Vermelho",Artist
artist49,"Edson; DJ Marky & DJ Patife Featuring Fernanda Porto",Artist
artist50,"Metallica",Artist
artist51,"Queen",Artist
artist52,"Kiss",Artist
artist53,"Spyro Gyra",Artist
artist54,"Green Day",Artist
artist55,"David Coverdale",Artist
artist56,"Gonzaguinha",Artist
artist57,"Os Mutantes",Artist
artist58,"Deep Purple",Artist
artist59,"Santana",Artist
artist60,"Santana Feat. Dave Matthews",Artist
artist61,"Santana Feat. Everlast",Artist
artist62,"Santana Feat. Rob Thomas",Artist
artist63,"Santana Feat. Lauryn Hill & Cee-Lo",Artist
artist64,"Santana Feat. The Project G&B",Artist
artist65,"Santana Feat. Maná",Artist
artist66,"Santana Feat. Eagle-Eye Cherry",Artist
artist67,"Santana Feat. Eric Clapton",Artist
artist68,"Miles Davis",Artist
artist69,"Gene Krupa",Artist
artist70,"Toquinho & Vinícius",Artist
artist71,"Vinícius De Moraes & Baden Powell",Artist
artist72,"Vinícius De Moraes",Artist
artist73,"Vinícius E Qurteto Em Cy",Artist
artist74,"Vinícius E Odette Lara",Artist
artist75,"Vinicius; Toquinho & Quarteto Em Cy",Artist
artist76,"Creedence Clearwater Revival",Artist
artist77,"Cássia Eller",Artist
artist78,"Def Leppard",Artist
artist79,"Dennis Chambers",Artist
artist80,"Djavan",Artist
artist81,"Eric Clapton",Artist
artist82,"Faith No More",Artist
artist83,"Falamansa",Artist
artist84,"Foo Fighters",Artist
artist85,"Frank Sinatra",Artist
artist86,"Funk Como Le Gusta",Artist
artist87,"Godsmack",Artist
artist88,"Guns N' Roses",Artist
artist89,"Incognito",Artist
artist90,"Iron Maiden",Artist
artist91,"James Brown",Artist
artist92,"Jamiroquai",Artist
artist93,"JET",Artist
artist94,"Jimi Hendrix",Artist
artist95,"Joe Satriani",Artist
artist96,"Jota Quest",Artist
artist97,"João Suplicy",Artist
artist98,"Judas Priest",Artist
artist99,"Legião Urbana",Artist
artist100,"Lenny Kravitz",Artist
