AlbumId	Title	ArtistName	TrackId	TrackName
1	For Those About To Rock We Salute You	AC/DC	1	For Those About To Rock (We Salute You)
1	For Those About To Rock We Salute You	AC/DC	6	Put The Finger On You
1	For Those About To Rock We Salute You	AC/DC	7	Let's Get It Up
1	For Those About To Rock We Salute You	AC/DC	8	Inject The Venom
1	For Those About To Rock We Salute You	AC/DC	9	Snowballed
1	For Those About To Rock We Salute You	AC/DC	10	Evil Walks
1	For Those About To Rock We Salute You	AC/DC	11	C.O.D.
1	For Those About To Rock We Salute You	AC/DC	12	Breaking The Rules
1	For Those About To Rock We Salute You	AC/DC	13	Night Of The Long Knives
1	For Those About To Rock We Salute You	AC/DC	14	Spellbound
2	Balls to the Wall	Accept	2	Balls to the Wall
3	Restless and Wild	Accept	3	Fast As a Shark
3	Restless and Wild	Accept	4	Restless and Wild
3	Restless and Wild	Accept	5	Princess of the Dawn
4	Let There Be Rock	AC/DC	15	Go Down
4	Let There Be Rock	AC/DC	16	Dog Eat Dog
4	Let There Be Rock	AC/DC	17	Let There Be Rock
4	Let There Be Rock	AC/DC	18	Bad Boy Boogie
4	Let There Be Rock	AC/DC	19	Problem Child
4	Let There Be Rock	AC/DC	20	Overdose
4	Let There Be Rock	AC/DC	21	Hell Ain't A Bad Place To Be
4	Let There Be Rock	AC/DC	22	Whole Lotta Rosie
5	Big Ones	Aerosmith	23	Walk On Water
5	Big Ones	Aerosmith	24	Love In An Elevator
5	Big Ones	Aerosmith	25	Rag Doll
5	Big Ones	Aerosmith	26	What It Takes
5	Big Ones	Aerosmith	27	Dude (Looks Like A Lady)
5	Big Ones	Aerosmith	28	Janie's Got A Gun
5	Big Ones	Aerosmith	29	Cryin'
5	Big Ones	Aerosmith	30	Amazing
5	Big Ones	Aerosmith	31	Blind Man
5	Big Ones	Aerosmith	32	Deuces Are Wild
5	Big Ones	Aerosmith	33	The Other Side
5	Big Ones	Aerosmith	34	Crazy
5	Big Ones	Aerosmith	35	Eat The Rich
5	Big Ones	Aerosmith	36	Angel
5	Big Ones	Aerosmith	37	Livin' On The Edge
6	Jagged Little Pill	Alanis Morissette	38	All I Really Want
6	Jagged Little Pill	Alanis Morissette	39	You Oughta Know
6	Jagged Little Pill	Alanis Morissette	40	Perfect
6	Jagged Little Pill	Alanis Morissette	41	Hand In My Pocket
6	Jagged Little Pill	Alanis Morissette	42	Right Through You
6	Jagged Little Pill	Alanis Morissette	43	Forgiven
6	Jagged Little Pill	Alanis Morissette	44	You Learn
6	Jagged Little Pill	Alanis Morissette	45	Head Over Feet
6	Jagged Little Pill	Alanis Morissette	46	Mary Jane
6	Jagged Little Pill	Alanis Morissette	47	Ironic
6	Jagged Little Pill	Alanis Morissette	48	Not The Doctor
6	Jagged Little Pill	Alanis Morissette	49	Wake Up
6	Jagged Little Pill	Alanis Morissette	50	You Oughta Know (Alternate)
7	Facelift	Alice In Chains	51	We Die Young
7	Facelift	Alice In Chains	52	Man In The Box
7	Facelift	Alice In Chains	53	Sea Of Sorrow
7	Facelift	Alice In Chains	54	Bleed The Freak
7	Facelift	Alice In Chains	55	I Can't Remember
7	Facelift	Alice In Chains	56	Love, Hate, Love
7	Facelift	Alice In Chains	57	It Ain't Like That
7	Facelift	Alice In Chains	58	Sunshine
7	Facelift	Alice In Chains	59	Put You Down
7	Facelift	Alice In Chains	60	Confusion
7	Facelift	Alice In Chains	61	I Know Somethin (Bout You)
7	Facelift	Alice In Chains	62	Real Thing
8	Warner 25 Anos	Antônio Carlos Jobim	63	Desafinado
8	Warner 25 Anos	Antônio Carlos Jobim	64	Garota De Ipanema
8	Warner 25 Anos	Antônio Carlos Jobim	65	Samba De Uma Nota Só (One Note Samba)
8	Warner 25 Anos	Antônio Carlos Jobim	66	Por Causa De Você
8	Warner 25 Anos	Antônio Carlos Jobim	67	Ligia
8	Warner 25 Anos	Antônio Carlos Jobim	68	Fotografia
8	Warner 25 Anos	Antônio Carlos Jobim	69	Dindi (Dindi)
8	Warner 25 Anos	Antônio Carlos Jobim	70	Se Todos Fossem Iguais A Você (Instrumental)
8	Warner 25 Anos	Antônio Carlos Jobim	71	Falando De Amor
8	Warner 25 Anos	Antônio Carlos Jobim	72	Angela
8	Warner 25 Anos	Antônio Carlos Jobim	73	Corcovado (Quiet Nights Of Quiet Stars)
8	Warner 25 Anos	Antônio Carlos Jobim	74	Outra Vez
8	Warner 25 Anos	Antônio Carlos Jobim	75	O Boto (Bôto)
8	Warner 25 Anos	Antônio Carlos Jobim	76	Canta, Canta Mais
9	Plays Metallica By Four Cellos	Apocalyptica	77	Enter Sandman
9	Plays Metallica By Four Cellos	Apocalyptica	78	Master Of Puppets
9	Plays Metallica By Four Cellos	Apocalyptica	79	Harvester Of Sorrow
9	Plays Metallica By Four Cellos	Apocalyptica	80	The Unforgiven
9	Plays Metallica By Four Cellos	Apocalyptica	81	Sad But True
9	Plays Metallica By Four Cellos	Apocalyptica	82	Creeping Death
9	Plays Metallica By Four Cellos	Apocalyptica	83	Wherever I May Roam
9	Plays Metallica By Four Cellos	Apocalyptica	84	Welcome Home (Sanitarium)
10	Audioslave	Audioslave	85	Cochise
10	Audioslave	Audioslave	86	Show Me How to Live
10	Audioslave	Audioslave	87	Gasoline
10	Audioslave	Audioslave	88	What You Are
10	Audioslave	Audioslave	89	Like a Stone
10	Audioslave	Audioslave	90	Set It Off
10	Audioslave	Audioslave	91	Shadow on the Sun
10	Audioslave	Audioslave	92	I am the Highway
10	Audioslave	Audioslave	93	Exploder
10	Audioslave	Audioslave	94	Hypnotize
10	Audioslave	Audioslave	95	Bring'em Back Alive
10	Audioslave	Audioslave	96	Light My Way
10	Audioslave	Audioslave	97	Getaway Car
10	Audioslave	Audioslave	98	The Last Remaining Light
11	Out Of Exile	Audioslave	99	Your Time Has Come
11	Out Of Exile	Audioslave	100	Out Of Exile
11	Out Of Exile	Audioslave	101	Be Yourself
11	Out Of Exile	Audioslave	102	Doesn't Remind Me
11	Out Of Exile	Audioslave	103	Drown Me Slowly
11	Out Of Exile	Audioslave	104	Heaven's Dead
11	Out Of Exile	Audioslave	105	The Worm
11	Out Of Exile	Audioslave	106	Man Or Animal
11	Out Of Exile	Audioslave	107	Yesterday To Tomorrow
11	Out Of Exile	Audioslave	108	Dandelion
11	Out Of Exile	Audioslave	109	#1 Zero
11	Out Of Exile	Audioslave	110	The Curse
12	BackBeat Soundtrack	BackBeat	111	Money
12	BackBeat Soundtrack	BackBeat	112	Long Tall Sally
12	BackBeat Soundtrack	BackBeat	113	Bad Boy
12	BackBeat Soundtrack	BackBeat	114	Twist And Shout
12	BackBeat Soundtrack	BackBeat	115	Please Mr. Postman
12	BackBeat Soundtrack	BackBeat	116	C'Mon Everybody
12	BackBeat Soundtrack	BackBeat	117	Rock 'N' Roll Music
12	BackBeat Soundtrack	BackBeat	118	Slow Down
12	BackBeat Soundtrack	BackBeat	119	Roadrunner
12	BackBeat Soundtrack	BackBeat	120	Carol
12	BackBeat Soundtrack	BackBeat	121	Good Golly Miss Molly
12	BackBeat Soundtrack	BackBeat	122	20 Flight Rock
13	The Best Of Billy Cobham	Billy Cobham	123	Quadrant
13	The Best Of Billy Cobham	Billy Cobham	124	Snoopy's search-Red baron
13	The Best Of Billy Cobham	Billy Cobham	125	Spanish moss-"A sound portrait"-Spanish moss
13	The Best Of Billy Cobham	Billy Cobham	126	Moon germs
13	The Best Of Billy Cobham	Billy Cobham	127	Stratus
13	The Best Of Billy Cobham	Billy Cobham	128	The pleasant pheasant
13	The Best Of Billy Cobham	Billy Cobham	129	Solo-Panhandler
13	The Best Of Billy Cobham	Billy Cobham	130	Do what cha wanna
14	Alcohol Fueled Brewtality Live! [Disc 1]	Black Label Society	131	Intro/ Low Down
14	Alcohol Fueled Brewtality Live! [Disc 1]	Black Label Society	132	13 Years Of Grief
14	Alcohol Fueled Brewtality Live! [Disc 1]	Black Label Society	133	Stronger Than Death
14	Alcohol Fueled Brewtality Live! [Disc 1]	Black Label Society	134	All For You
