GenreId	Name	TrackId	TrackName
1	Rock	1	For Those About To Rock (We Salute You)
1	Rock	6	Put The Finger On You
1	Rock	7	Let's Get It Up
1	Rock	8	Inject The Venom
1	Rock	9	Snowballed
1	Rock	10	Evil Walks
1	Rock	11	C.O.D.
1	Rock	12	Breaking The Rules
1	Rock	13	Night Of The Long Knives
1	Rock	14	Spellbound
1	Rock	15	Go Down
1	Rock	16	Dog Eat Dog
1	Rock	17	Let There Be Rock
1	Rock	18	Bad Boy Boogie
1	Rock	19	Problem Child
1	Rock	20	Overdose
1	Rock	21	Hell Ain't A Bad Place To Be
1	Rock	22	Whole Lotta Rosie
1	Rock	23	Walk On Water
1	Rock	24	Love In An Elevator
1	Rock	25	Rag Doll
1	Rock	26	What It Takes
1	Rock	27	Dude (Looks Like A Lady)
1	Rock	28	Janie's Got A Gun
1	Rock	29	Cryin'
1	Rock	30	Amazing
1	Rock	31	Blind Man
1	Rock	32	Deuces Are Wild
1	Rock	33	The Other Side
1	Rock	34	Crazy
1	Rock	35	Eat The Rich
1	Rock	36	Angel
1	Rock	37	Livin' On The Edge
1	Rock	38	All I Really Want
1	Rock	39	You Oughta Know
1	Rock	40	Perfect
1	Rock	41	Hand In My Pocket
1	Rock	42	Right Through You
1	Rock	43	Forgiven
1	Rock	44	You Learn
1	Rock	45	Head Over Feet
1	Rock	46	Mary Jane
1	Rock	47	Ironic
1	Rock	48	Not The Doctor
1	Rock	49	Wake Up
1	Rock	50	You Oughta Know (Alternate)
1	Rock	51	We Die Young
1	Rock	52	Man In The Box
1	Rock	53	Sea Of Sorrow
1	Rock	54	Bleed The Freak
1	Rock	55	I Can't Remember
1	Rock	56	Love, Hate, Love
1	Rock	57	It Ain't Like That
1	Rock	58	Sunshine
1	Rock	59	Put You Down
1	Rock	60	Confusion
1	Rock	61	I Know Somethin (Bout You)
1	Rock	62	Real Thing
1	Rock	63	Desafinado
1	Rock	64	Garota De Ipanema
1	Rock	65	Samba De Uma Nota Só (One Note Samba)
1	Rock	66	Por Causa De Você
1	Rock	67	Ligia
1	Rock	68	Fotografia
1	Rock	69	Dindi (Dindi)
1	Rock	70	Se Todos Fossem Iguais A Você (Instrumental)
1	Rock	71	Falando De Amor
1	Rock	72	Angela
1	Rock	73	Corcovado (Quiet Nights Of Quiet Stars)
1	Rock	74	Outra Vez
1	Rock	75	O Boto (Bôto)
1	Rock	76	Canta, Canta Mais
1	Rock	77	Enter Sandman
1	Rock	78	Master Of Puppets
1	Rock	79	Harvester Of Sorrow
1	Rock	80	The Unforgiven
1	Rock	81	Sad But True
1	Rock	82	Creeping Death
1	Rock	83	Wherever I May Roam
1	Rock	84	Welcome Home (Sanitarium)
1	Rock	85	Cochise
1	Rock	86	Show Me How to Live
1	Rock	87	Gasoline
1	Rock	88	What You Are
1	Rock	89	Like a Stone
1	Rock	90	Set It Off
1	Rock	91	Shadow on the Sun
1	Rock	92	I am the Highway
1	Rock	93	Exploder
1	Rock	94	Hypnotize
1	Rock	95	Bring'em Back Alive
1	Rock	96	Light My Way
1	Rock	97	Getaway Car
1	Rock	98	The Last Remaining Light
1	Rock	99	Your Time Has Come
1	Rock	100	Out Of Exile
1	Rock	101	Be Yourself
1	Rock	102	Doesn't Remind Me
1	Rock	103	Drown Me Slowly
1	Rock	104	Heaven's Dead
1	Rock	105	The Worm
1	Rock	106	Man Or Animal
1	Rock	107	Yesterday To Tomorrow
1	Rock	108	Dandelion
1	Rock	109	#1 Zero
1	Rock	110	The Curse
1	Rock	111	Money
1	Rock	112	Long Tall Sally
1	Rock	113	Bad Boy
1	Rock	114	Twist And Shout
1	Rock	115	Please Mr. Postman
1	Rock	116	C'Mon Everybody
1	Rock	117	Rock 'N' Roll Music
1	Rock	118	Slow Down
1	Rock	119	Roadrunner
1	Rock	120	Carol
1	Rock	121	Good Golly Miss Molly
1	Rock	122	20 Flight Rock
1	Rock	123	Quadrant
1	Rock	124	Snoopy's search-Red baron
1	Rock	125	Spanish moss-"A sound portrait"-Spanish moss
1	Rock	126	Moon germs
1	Rock	127	Stratus
1	Rock	128	The pleasant pheasant
1	Rock	129	Solo-Panhandler
1	Rock	130	Do what cha wanna
1	Rock	131	Intro/ Low Down
1	Rock	132	13 Years Of Grief
1	Rock	133	Stronger Than Death
1	Rock	134	All For You
1	Rock	135	Super Terrorizer
1	Rock	136	Phoney Smile Fake Hellos
1	Rock	137	Lost My Better Half
1	Rock	138	Bored To Tears
1	Rock	139	A.N.D.R.O.T.A.Z.
1	Rock	140	Born To Booze
1	Rock	141	World Of Trouble
1	Rock	142	No More Tears
1	Rock	143	The Begining... At Last
1	Rock	144	Heart Of Gold
1	Rock	145	Snowblind
1	Rock	146	Like A Bird
1	Rock	147	Blood In The Wall
1	Rock	148	The Beginning...At Last
1	Rock	149	Black Sabbath
1	Rock	150	The Wizard
1	Rock	151	Behind The Wall Of Sleep
1	Rock	152	N.I.B.
1	Rock	153	Evil Woman
1	Rock	154	Sleeping Village
1	Rock	155	Warning
1	Rock	156	Wheels Of Confusion / The Straightener
1	Rock	157	Tomorrow's Dream
1	Rock	158	Changes
1	Rock	159	FX
1	Rock	160	Supernaut
1	Rock	161	Snowblind
1	Rock	162	Cornucopia
1	Rock	163	Laguna Sunrise
1	Rock	164	St. Vitus Dance
1	Rock	165	Under The Sun/Every Day Comes and Goes
1	Rock	166	Smoked Pork
1	Rock	167	Body Count's In The House
1	Rock	168	Now Sports
1	Rock	169	Body Count
1	Rock	170	A Statistic
1	Rock	171	Bowels Of The Devil
1	Rock	172	The Real Problem
1	Rock	173	KKK Bitch
1	Rock	174	D Note
1	Rock	175	Voodoo
1	Rock	176	The Winner Loses
1	Rock	177	There Goes The Neighborhood
1	Rock	178	Oprah
