MediaTypeId	Name	TrackId	TrackName
1	MPEG audio file	1	For Those About To Rock (We Salute You)
1	MPEG audio file	6	Put The Finger On You
1	MPEG audio file	7	Let's Get It Up
1	MPEG audio file	8	Inject The Venom
1	MPEG audio file	9	Snowballed
1	MPEG audio file	10	Evil Walks
1	MPEG audio file	11	C.O.D.
1	MPEG audio file	12	Breaking The Rules
1	MPEG audio file	13	Night Of The Long Knives
1	MPEG audio file	14	Spellbound
1	MPEG audio file	15	Go Down
1	MPEG audio file	16	Dog Eat Dog
1	MPEG audio file	17	Let There Be Rock
1	MPEG audio file	18	Bad Boy Boogie
1	MPEG audio file	19	Problem Child
1	MPEG audio file	20	Overdose
1	MPEG audio file	21	Hell Ain't A Bad Place To Be
1	MPEG audio file	22	Whole Lotta Rosie
1	MPEG audio file	23	Walk On Water
1	MPEG audio file	24	Love In An Elevator
1	MPEG audio file	25	Rag Doll
1	MPEG audio file	26	What It Takes
1	MPEG audio file	27	Dude (Looks Like A Lady)
1	MPEG audio file	28	Janie's Got A Gun
1	MPEG audio file	29	Cryin'
1	MPEG audio file	30	Amazing
1	MPEG audio file	31	Blind Man
1	MPEG audio file	32	Deuces Are Wild
1	MPEG audio file	33	The Other Side
1	MPEG audio file	34	Crazy
1	MPEG audio file	35	Eat The Rich
1	MPEG audio file	36	Angel
1	MPEG audio file	37	Livin' On The Edge
1	MPEG audio file	38	All I Really Want
1	MPEG audio file	39	You Oughta Know
1	MPEG audio file	40	Perfect
1	MPEG audio file	41	Hand In My Pocket
1	MPEG audio file	42	Right Through You
1	MPEG audio file	43	Forgiven
1	MPEG audio file	44	You Learn
1	MPEG audio file	45	Head Over Feet
1	MPEG audio file	46	Mary Jane
1	MPEG audio file	47	Ironic
1	MPEG audio file	48	Not The Doctor
1	MPEG audio file	49	Wake Up
1	MPEG audio file	50	You Oughta Know (Alternate)
1	MPEG audio file	51	We Die Young
1	MPEG audio file	52	Man In The Box
1	MPEG audio file	53	Sea Of Sorrow
1	MPEG audio file	54	Bleed The Freak
1	MPEG audio file	55	I Can't Remember
1	MPEG audio file	56	Love, Hate, Love
1	MPEG audio file	57	It Ain't Like That
1	MPEG audio file	58	Sunshine
1	MPEG audio file	59	Put You Down
1	MPEG audio file	60	Confusion
1	MPEG audio file	61	I Know Somethin (Bout You)
1	MPEG audio file	62	Real Thing
1	MPEG audio file	63	Desafinado
1	MPEG audio file	64	Garota De Ipanema
1	MPEG audio file	65	Samba De Uma Nota Só (One Note Samba)
1	MPEG audio file	66	Por Causa De Você
1	MPEG audio file	67	Ligia
1	MPEG audio file	68	Fotografia
1	MPEG audio file	69	Dindi (Dindi)
1	MPEG audio file	70	Se Todos Fossem Iguais A Você (Instrumental)
1	MPEG audio file	71	Falando De Amor
1	MPEG audio file	72	Angela
1	MPEG audio file	73	Corcovado (Quiet Nights Of Quiet Stars)
1	MPEG audio file	74	Outra Vez
1	MPEG audio file	75	O Boto (Bôto)
1	MPEG audio file	76	Canta, Canta Mais
1	MPEG audio file	77	Enter Sandman
1	MPEG audio file	78	Master Of Puppets
1	MPEG audio file	79	Harvester Of Sorrow
1	MPEG audio file	80	The Unforgiven
1	MPEG audio file	81	Sad But True
1	MPEG audio file	82	Creeping Death
1	MPEG audio file	83	Wherever I May Roam
1	MPEG audio file	84	Welcome Home (Sanitarium)
1	MPEG audio file	85	Cochise
1	MPEG audio file	86	Show Me How to Live
1	MPEG audio file	87	Gasoline
1	MPEG audio file	88	What You Are
1	MPEG audio file	89	Like a Stone
1	MPEG audio file	90	Set It Off
1	MPEG audio file	91	Shadow on the Sun
1	MPEG audio file	92	I am the Highway
1	MPEG audio file	93	Exploder
1	MPEG audio file	94	Hypnotize
1	MPEG audio file	95	Bring'em Back Alive
1	MPEG audio file	96	Light My Way
1	MPEG audio file	97	Getaway Car
1	MPEG audio file	98	The Last Remaining Light
1	MPEG audio file	99	Your Time Has Come
1	MPEG audio file	100	Out Of Exile
1	MPEG audio file	101	Be Yourself
1	MPEG audio file	102	Doesn't Remind Me
1	MPEG audio file	103	Drown Me Slowly
1	MPEG audio file	104	Heaven's Dead
1	MPEG audio file	105	The Worm
1	MPEG audio file	106	Man Or Animal
1	MPEG audio file	107	Yesterday To Tomorrow
1	MPEG audio file	108	Dandelion
1	MPEG audio file	109	#1 Zero
1	MPEG audio file	110	The Curse
1	MPEG audio file	111	Money
1	MPEG audio file	112	Long Tall Sally
1	MPEG audio file	113	Bad Boy
1	MPEG audio file	114	Twist And Shout
1	MPEG audio file	115	Please Mr. Postman
