PlaylistId	PlaylistName	TrackId	TrackName
1	Music	2968	City Of Blinding Lights
1	Music	1149	Out Ta Get Me
1	Music	1977	Home Sweet Home
1	Music	155	Warning
1	Music	3307	House Of Pain Anthem
1	Music	2608	Should I Stay Or Should I Go
1	Music	1949	Jailbait
1	Music	3282	N.I.B.
1	Music	2268	Seven Seas Of Rhye
1	Music	793	A Castle Full Of Rascals
1	Music	1919	Cuitelinho
1	Music	3253	Instant Karma
1	Music	1417	Out Of Sight
1	Music	2242	100% HardCore
1	Music	2556	Revenga
1	Music	1365	Fear Of The Dark
1	Music	2506	Nothing To Say
1	Music	707	My Baby Left Me
1	Music	25	Rag Doll
1	Music	3160	Sapopemba e Maxambomba
1	Music	1671	Natália
1	Music	675	Susie Q
1	Music	989	In Your Honor
1	Music	1313	Afraid To Shoot Strangers
1	Music	2138	Theme From Let's Go Native
1	Music	312	Eu Também Quero Beijar
1	Music	1639	Since I've Been Loving You
1	Music	2456	Rebelião
1	Music	643	Jungle Drums
1	Music	961	The Last To Know
1	Music	1790	Heavy Love Affair
1	Music	3110	Headspace
1	Music	1285	Purgatory
1	Music	1607	Carouselambra
1	Music	611	E.S.P.
1	Music	2748	Squeeze Box
1	Music	1758	Cérebro Eletrônico
1	Music	3084	Ain't Talkin' 'Bout Love
1	Music	2088	Quase Um Segundo
1	Music	3418	Die Walküre: The Ride of the Valkyries
1	Music	1579	Since I've Been Loving You
1	Music	2409	Freewill
1	Music	2721	Army Ants
1	Music	1726	Satisfação
1	Music	3055	Secrets
1	Music	2059	Feira Moderna
1	Music	3404	Miserere mei, Deus
1	Music	1556	Some Heads Are Gonna Roll
1	Music	2386	Tear
1	Music	561	Salgueiro
1	Music	2699	Sweethearts Together
1	Music	897	White Room
1	Music	2361	Funky Monks
1	Music	529	Balada Do Louco
1	Music	3008	Sunday Bloody Sunday
1	Music	1184	Estranged
1	Music	3349	Amanda
1	Music	2335	A Sua
1	Music	2981	Gone
1	Music	169	Body Count
1	Music	828	Love Bites
1	Music	2956	Unchained Melody
1	Music	1133	American Idiot
1	Music	1965	Só Se For Pelo Cabelo
1	Music	1449	Destitute Illusions
1	Music	2931	So Cruel
1	Music	1934	Ponta de Areia
1	Music	3269	Isolation
1	Music	2228	Equal Rights Downpresser Man
1	Music	413	Loverman
1	Music	2545	No Memory
1	Music	754	Speed King
1	Music	1873	Fixxxer
1	Music	2203	Release
1	Music	723	1° De Julho
1	Music	1349	Back in the Village
1	Music	2494	Landslide
1	Music	691	Have You Ever Seen The Rain?
1	Music	2810	Caras Como Eu
1	Music	1005	On The Mend
1	Music	10	Evil Walks
1	Music	2152	Daughter
1	Music	1655	Achilles Last Stand
1	Music	659	Samba Em Prelúdio
1	Music	1804	The Unforgiven
1	Music	3126	Mulher Carioca
1	Music	1301	Acacia Avenue
1	Music	1623	Black Mountain Side
1	Music	2443	Thrill Me
1	Music	627	Let Me Off Uptown
1	Music	2762	Cristina Nº 2
1	Music	1774	Get My Hands On Some Lovin'
1	Music	1270	03 - Remember Tomorrow
1	Music	3425	Adagio for Strings from the String Quartet, Op. 11
1	Music	1591	Ozone Baby
1	Music	596	A Rua
1	Music	2732	Anyway, Anyhow, Anywhere
1	Music	929	Ashes To Ashes
1	Music	1742	Se Você Pensa
1	Music	3071	Panama
1	Music	1244	The Thin Line Between Love & Hate
1	Music	2072	Luis Inacio (300 Picaretas)
1	Music	253	Maracatu Atômico
1	Music	3411	Solomon HWV 67: The Arrival of the Queen of Sheba
1	Music	2710	The Bazaar
1	Music	226	Carolina
1	Music	3390	One and the Same
1	Music	1540	Papelão
1	Music	545	Gypsy
1	Music	885	Fascinação
1	Music	3019	Seconds
1	Music	1515	Menina Sarará
1	Music	2663	Message in a Bottle (new classic rock mix)
1	Music	2994	Silver And Gold
1	Music	1998	Negative Creep
1	Music	3333	Chega no Suingue
1	Music	497	Midnight Blue
1	Music	2638	Earth Mofo
1	Music	1330	The Assassin
1	Music	337	You Shook Me
1	Music	2476	Believe
1	Music	2795	Bichos Escrotos (Vinheta)
1	Music	983	Principiando/Decolagem
1	Music	2770	Eu Amo Você
1	Music	1279	Murders In The Rue Morgue
1	Music	2112	Dee
1	Music	2426	Fried Neckbones And Home Fries
1	Music	581	Primavera
1	Music	914	Nobody Knows You When You're Down & Out
1	Music	1226	Can I Play With Madness
1	Music	1201	Different World
1	Music	2028	Prazer E Fé
1	Music	211	Bem Devagar
1	Music	3370	Times of Trouble
1	Music	3468	You Sent Me Flying / Cherry
1	Music	2356	Século XXI
1	Music	2672	Paint It Black
1	Music	868	Serrado
1	Music	2004	In Bloom
1	Music	186	Killing Floor
1	Music	2329	I Believe
1	Music	2647	End Of The Night
1	Music	164	St. Vitus Dance
1	Music	1466	Last Chance
1	Music	2304	Be Mine
1	Music	478	Jaded
1	Music	2617	Shape The Sky
1	Music	133	Stronger Than Death
1	Music	456	Heart of the Night
1	Music	2593	Complete Control
1	Music	1103	Lamento De Carnaval
1	Music	1928	Maria, Maria
1	Music	107	Yesterday To Tomorrow
1	Music	434	The Show Must Go On
1	Music	1080	Assum Preto
1	Music	1897	The Shortest Straw
1	Music	1402	Blood On The World's Hands
1	Music	2540	Love Me Darlin'
1	Music	1056	L.A. Is My Lady
1	Music	378	Wave (Vou te Contar)
1	Music	1027	See You
1	Music	1845	Bleeding Me
1	Music	1343	To Tame A Land
1	Music	2171	Unemployable
1	Music	1821	The Prince
1	Music	3145	Sweet Lady Luck
