InvoiceLineId	UnitPrice	Quantity	InvoiceId	TrackName
1	0.99	1	1	Balls to the Wall
2	0.99	1	1	Restless and Wild
3	0.99	1	2	Put The Finger On You
4	0.99	1	2	Inject The Venom
5	0.99	1	2	Evil Walks
6	0.99	1	2	Breaking The Rules
7	0.99	1	3	Dog Eat Dog
8	0.99	1	3	Overdose
9	0.99	1	3	Love In An Elevator
10	0.99	1	3	Janie's Got A Gun
11	0.99	1	3	Deuces Are Wild
12	0.99	1	3	Angel
13	0.99	1	4	Right Through You
14	0.99	1	4	Not The Doctor
15	0.99	1	4	Bleed The Freak
16	0.99	1	4	Confusion
17	0.99	1	4	Por Causa De Você
18	0.99	1	4	Angela
19	0.99	1	4	Master Of Puppets
20	0.99	1	4	Welcome Home (Sanitarium)
21	0.99	1	4	Set It Off
22	0.99	1	5	Your Time Has Come
23	0.99	1	5	Dandelion
24	0.99	1	5	Rock 'N' Roll Music
25	0.99	1	5	Moon germs
26	0.99	1	5	Super Terrorizer
27	0.99	1	5	Heart Of Gold
28	0.99	1	5	Evil Woman
29	0.99	1	5	Cornucopia
30	0.99	1	5	Bowels Of The Devil
31	0.99	1	5	Body Count Anthem
32	0.99	1	5	Jerusalem
33	0.99	1	5	When My Left Eye Jumps
34	0.99	1	5	Meditação
35	0.99	1	5	Esse Cara
36	0.99	1	6	Bye, Bye Brasil
37	0.99	1	7	Atras Da Porta
38	0.99	1	7	Tatuagem
39	0.99	1	8	Morena De Angola
40	0.99	1	8	A Banda
41	0.99	1	9	Com Açúcar E Com Afeto
42	0.99	1	9	Meu Caro Amigo
43	0.99	1	9	Trocando Em Miúdos
44	0.99	1	9	Gota D'água
45	0.99	1	10	Etnia
46	0.99	1	10	Samba Do Lado
47	0.99	1	10	Sobremesa
48	0.99	1	10	Sangue De Bairro
49	0.99	1	10	Amor De Muito
50	0.99	1	10	Maracatu Atômico [Trip Hop]
51	0.99	1	11	Samba Makossa
52	0.99	1	11	Lixo Do Mangue
53	0.99	1	11	Firmamento
54	0.99	1	11	Já Foi
55	0.99	1	11	A Cor Do Sol
56	0.99	1	11	Firmamento
57	0.99	1	11	Sábado A Noite
58	0.99	1	11	Linha Do Equador
59	0.99	1	11	Livre Pra Viver
60	0.99	1	12	Lavadeira
61	0.99	1	12	Dazed and Confused
62	0.99	1	12	You Shook Me(2)
63	0.99	1	12	Man With The Woman Head
